Gas,NFR/CRT Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Coal,kilotonne,49.80198304,186.6705169,173.4270005,189.9598453,165.8229808,144.5262813,120.6337938,68.36224601,60.04621084,95.85340793,44.79614537,43.3670808,63.82289546,43.6489799,29.20241434,34.14435593,47.97015234,32.693282,30.69875686,27.65749218,25.7255458,24.10596641,23.25175516,23.221217,25.65205455,23.20900173,21.07133052,19.76646131,18.24596429,16.42136786,14.65759131,17.64992946,18.56222767,16.71330329
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Fuel oil,kilotonne,27.744,46.872,47.575,32.87,44.115,33.735,21.625,23.436,14.807,13.984,8.3825,30.75625,29.87062,21.096,20.74808924,20.84496801,25.23421022,22.85524307,0.81747,0.82626,0.82626,0.82626,0.37797,0.37797,0.37797,0.27249,0.25491,0.25491,0.25491,0.25491,0.25491,0.24612,0.24612,0.24612
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Gas oil,kilotonne,18.01132216,18.72916147,18.7600692,18.52773383,17.81469127,16.65104516,18.30658915,17.99059514,19.14,19.14,24.9864,35.7918,31.11745169,18.3657,8.86828049,24.1077,11.89604882,8.748480562,0.326621709,0.039777356,0.003322547,-,0.047569852,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Natural gas,kilotonne,223.4866059,223.0272926,187.7624502,204.4896358,225.2169966,214.4383804,242.8085405,231.9839795,278.3641151,280.4726191,297.055252,285.4284999,265.1481157,241.5134544,172.1934765,170.3819055,167.1857323,154.9923872,143.8904205,113.9093693,117.5006136,117.9937266,123.0333583,120.3035533,114.806001,165.3863762,156.6459128,162.0873287,170.7139791,157.8056991,152.9731553,153.7699295,144.9611795,145.3225977
Carbon Dioxide as Carbon,1A2b,Vehicle manufacture (combustion),Non-municipal solid waste: non-biomass fraction,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.86619336,5.745741079,6.252437048,5.803102887,5.803102887
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Coal,kilotonne,762.4529846,849.5087161,813.8602902,690.068264,681.1065585,563.6317606,406.5163815,325.1798397,219.4749847,213.3679221,121.3096384,219.5913705,240.7959674,254.7575814,231.2686276,258.9602486,258.2364873,268.2033872,266.8488162,236.5033687,236.2888443,289.8809328,223.2751607,163.9866302,121.21931,61.22357088,56.65474413,44.49920932,46.27633429,46.94194837,46.5800611,44.23425614,42.29557435,39.65250485
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Fuel oil,kilotonne,1137.504,1297.66,1305.285,1236.085,1048.38,691.135,567.44,428.792,370.175,120.1150973,192.0538986,130.6652928,95.35279424,76.15371848,81.54684006,88.97982595,80.40754133,84.56034679,111.29019,40.17909,60.42246,61.1784,22.28265,19.23252,22.19475,0.11427,43.93636178,24.12365331,26.00082,22.22112,10.14366,12.67518,10.14366,9.98544
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Gas oil,kilotonne,125.2605586,130.2528048,130.467754,128.8519671,123.8930802,115.8004504,127.3140064,125.1164117,133.11,105.1445433,112.0032577,121.8322171,99.38735292,96.6657,39.64566579,94.8822,55.47773595,44.51709703,9.310955851,16.67050044,1.041697556,-,25.15824702,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Natural gas,kilotonne,1328.110822,879.5233158,1044.459658,1686.80322,2022.965946,1991.634546,2118.942572,2318.083101,2334.092163,2591.914233,2779.127687,2723.768431,2477.091289,2465.413875,2426.117615,2112.55089,2022.148628,1894.958239,1913.347009,1540.290825,1539.678714,1318.353562,1305.501999,1417.242796,1277.35699,1224.916249,1245.643287,1292.911143,1351.859271,1343.751592,1236.751291,1170.747693,982.8007086,963.3827919
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Non-municipal solid waste: non-biomass fraction,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.94855475,24.48393162,42.39037595,27.16081598,36.28134342,37.77275042,31.73064,28.47057726
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Coal,kilotonne,472.5107527,568.1895495,638.9555998,659.7400687,550.9268248,323.1206427,124.4327938,120.7638607,36.91724481,51.43645223,115.9227493,105.5510066,116.0405262,107.5867143,110.0340204,104.3619747,105.7912583,107.9487241,111.4594396,95.11997571,95.61220805,92.06352521,103.3645978,106.3032251,122.7973412,99.51755545,97.19569856,78.79570519,0.134875531,0.134875531,0.134875531,0.141974244,0.141974244,0.141974244
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Fuel oil,kilotonne,195.942,237.832,265.555,227.495,230.955,163.485,127.155,87.668,73.164,61.72136907,41.52777148,86.70172924,43.27687322,33.56676142,28.56051871,31.26866154,33.01350857,31.64393615,3.56874,3.58632,3.67422,3.59511,0.92295,0.92295,0.92295,0.62409,0.62409,0.62409,0.62409,1.06359,0.62409,0.63288,0.63288,0.63288
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Gas oil,kilotonne,28.65437616,29.79639325,29.84556464,29.47594018,28.34155429,26.49029911,29.12411911,28.62140136,30.45,20.88,18.1482,31.9638,26.92621494,18.1482,8.998304151,47.1801,11.95444085,12.77603448,2.469051323,4.913450532,0.423545619,-,5.638061605,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Natural gas,kilotonne,578.770469,582.1205585,568.202338,515.427294,647.2932843,735.8238487,794.5596589,694.0446708,716.5913528,810.3506282,996.5539625,927.7784114,884.3998038,887.0272981,791.7683635,990.0355378,919.7780689,857.0785334,790.6224476,661.8752131,630.4231274,602.8085134,585.5683467,631.6279683,596.1202498,314.4879488,301.0070963,306.4210957,319.0807315,304.9047184,265.761292,260.6993167,227.4223281,224.1077375
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Non-municipal solid waste: non-biomass fraction,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.67889413,21.63018168,18.02116794,26.09962254,28.7765069
