PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001264,70132.5,7481,249244
E14001265,70132.5,7481,249244
E14001266,25979.006,3213.1200000000003,91055.91357142858
E14001267,27797.284,3388.68,97570.71857142857
E14001268,23641.22,2987.4,82679.73571428572
E14001269,27702.827999999998,3379.56,97232.28714285714
E14001270,70132.5,7481,249244
E14001271,70132.5,7481,249244
E14001272,29284.966,3532.32,102901.01357142857
E14001273,15352.705999999998,2187.12,52982.377857142856
E14001274,26899.952,3302.04,94355.62
E14001275,29568.334,3559.6800000000003,103916.30785714285
E14001276,70132.5,7481,249244
E14001277,29733.631999999998,3575.6400000000003,104508.56285714285
E14001278,29898.93,3591.6,105100.81785714286
E14001279,70132.5,7481,249244
E14001280,12707.938000000002,1931.7600000000002,43506.297857142854
E14001281,22980.028000000002,2923.56,80310.71571428572
E14001282,26711.04,3283.8,93678.75714285715
E14001283,28529.318,3459.3600000000006,100193.56214285715
E14001284,25365.041999999998,3153.8399999999997,88856.10928571428
E14001285,15494.39,2200.8,53490.02500000001
E14001286,29757.246000000003,3577.92,104593.17071428573
E14001287,22956.413999999997,2921.2799999999997,80226.10785714287
E14001288,23546.764,2978.2799999999997,82341.30428571429
E14001289,22531.361999999997,2880.24,78703.16642857142
E14001290,70132.5,7481,249244
E14001291,12944.078000000001,1954.56,44352.37642857143
E14001292,70132.5,7481,249244
E14001293,70132.5,7481,249244
E14001294,22554.976000000002,2882.5200000000004,78787.7742857143
E14001295,29591.948,3561.9599999999996,104000.91571428571
E14001296,30017,3603,105523.85714285714
E14001297,29922.544,3593.88,105185.42571428572
E14001298,18280.842,2469.84,63473.75214285714
E14001299,28033.423999999995,3411.48,98416.79714285715
E14001300,70132.5,7481,249244
E14001301,70132.5,7481,249244
E14001302,30017,3603,105523.85714285714
E14001303,22484.134,2875.6799999999994,78533.9507142857
E14001304,19862.98,2622.6,69142.47857142857
E14001305,70132.5,7481,249244
E14001306,70132.5,7481,249244
E14001307,30017,3603,105523.85714285714
E14001308,25766.48,3192.6,90294.44285714286
E14001309,13959.48,2052.6000000000004,47990.51428571429
E14001310,70132.5,7481,249244
E14001311,25152.516,3133.32,88094.63857142857
E14001312,70132.5,7481,249244
E14001413,28859.913999999997,3491.2799999999997,101378.07214285714
E14001414,70132.5,7481,249244
E14001415,29426.65,3545.9999999999995,103408.66071428571
E14001416,30017,3603,105523.85714285714
E14001417,70132.5,7481,249244
E14001418,22413.291999999998,2868.8399999999997,78280.12714285715
E14001419,30017,3603,105523.85714285714
E14001420,28222.336000000003,3429.7200000000003,99093.66
E14001421,70132.5,7481,249244
E14001422,25577.568,3174.3600000000006,89617.58
E14001423,24798.306000000004,3099.12,86825.52071428573
E14001424,10747.976000000002,1742.5200000000002,36483.84571428572
E14001425,28175.108000000004,3425.1600000000003,98924.4442857143
E14001426,30017,3603,105523.85714285714
E14001427,30017,3603,105523.85714285714
E14001428,29591.948,3561.9599999999996,104000.91571428571
E14001429,30017,3603,105523.85714285714
E14001430,70132.5,7481,249244
E14001431,30017,3603,105523.85714285714
E14001432,30017,3603,105523.85714285714
E14001433,30017,3603,105523.85714285714
