PCON25CD,PCON25NM,total_population_PC,mean_imd_ranking,median_imd_lsoa_ranking,median_imd_decile,total_number_of_LSOAs,number_of_LSOAs_with_decile_equal_1,pct_decile_equal_1,number_of_LSOAs_with_decile_equal_10,pct_decile_equal_10,new_ranking
E14001232,Exmouth and Exeter East,86930,28885.363510870815,32124,8,48,0,0,6,12.5,488
E14001456,Runnymede and Weybridge,106641,30826.470095929333,32137,8,64,0,0,13,20.3125,489
E14001565,Warrington South,94615,26636.33619404957,32231,8,58,3,5.172413793103448,13,22.413793103448278,490
E14001443,Ribble Valley,100613,30146.861722640217,32351,8,62,0,0,11,17.741935483870968,491
E14001403,North West Hampshire,95500,29970.068984293193,32410,8,58,0,0,14,24.137931034482758,492
E14001137,Bromley and Biggin Hill,96359,30208.531003850185,32455,8,56,0,0,6,10.714285714285714,493
E14001159,Chelmsford,102486,29804.74657514197,32500,8,65,0,0,16,24.615384615384617,494
E14001309,Kenilworth and Southam,92989,32391.534950370475,32507,8,54,0,0,9,16.666666666666664,495
E14001298,Huntingdon,105451,29829.900342339097,32553,8,63,0,0,12,19.047619047619047,496
E14001195,Derbyshire Dales,90964,30648.882788795567,32590,8,55,1,1.8181818181818181,8,14.545454545454545,497
E14001269,Harrogate and Knaresborough,100159,32198.90649367506,32622,8,65,1,1.5384615384615385,26,40,498
E14001481,South Cambridgeshire,104509,33523.50697547579,32701,8,64,0,0,20,31.25,499
E14001414,Old Bexley and Sidcup,101850,30158.556259204714,32719,8,62,0,0,9,14.516129032258066,500
E14001394,North East Somerset and Hanham,94751,31134.15429916307,32746,8,58,0,0,15,25.862068965517242,501
E14001171,Christchurch,84773,30666.84609486511,32783,8,53,0,0,11,20.754716981132077,502
E14001529,Stroud,96818,31134.981547852673,32797,8,57,0,0,13,22.807017543859647,503
E14001534,Sutton and Cheam,104095,31323.392915125605,32799,8,60,0,0,14,23.333333333333332,504
E14001476,Sleaford and North Hykeham,93586,29771.03783685594,32851,8,53,0,0,7,13.20754716981132,505
E14001376,Newbury,96811,31902.2117837849,32852,8,57,0,0,13,22.807017543859647,506
E14001347,Macclesfield,96659,29471.70954075668,32857,8,60,1,1.6666666666666667,20,33.33333333333333,507
E14001201,Dorking and Horley,90723,31322.43255844714,32988,8,54,0,0,14,25.925925925925924,508
E14001542,Tewkesbury,92890,30060.64802992787,32997,8,55,0,0,12,21.818181818181817,509
E14001488,South Leicestershire,99621,33725.515548930445,33061,8,52,0,0,15,28.846153846153843,510
E14001482,South Cotswolds,92558,31818.951576308908,33088,8,56,0,0,10,17.857142857142858,511
E14001316,Kingswinford and South Staffordshire,90470,30561.248662540067,33221,8,59,0,0,10,16.94915254237288,512
E14001233,Fareham and Waterlooville,96158,29977.86627217704,33285,8,61,1,1.639344262295082,15,24.59016393442623,513
E14001250,Goole and Pocklington,105494,30867.09728041405,33293,8,60,1,1.6666666666666667,18,30,514
E14001158,Cheadle,97540,31087.66308693869,33333,8,63,1,1.5873015873015872,19,30.158730158730158,515
E14001178,Congleton,86268,30896.79195646126,33348,8,49,0,0,17,34.69387755102041,516
E14001519,Stockton West,93165,30435.783030107872,33382,8,56,0,0,11,19.642857142857142,517
E14001582,Wetherby and Easingwold,92117,32340.86774970961,33569,8,54,0,0,11,20.37037037037037,518
E14001082,Beaconsfield,96549,33773.82004474412,33595,8,57,0,0,24,42.10526315789473,519
E14001364,Mid Leicestershire,98597,32093.579703236406,33650,8,58,0,0,11,18.96551724137931,520
E14001454,"Ruislip, Northwood and Pinner",100134,32089.604435057023,33668,8,60,0,0,16,26.666666666666668,521
E14001090,Bicester and Woodstock,92311,31786.87168918114,33783,8,58,0,0,15,25.862068965517242,522
E14001249,Godalming and Ash,98384,33654.48906834445,34004,8,61,0,0,23,37.704918032786885,523
E14001458,Rutland and Stamford,89016,33004.03026983913,34159,8,52,0,0,17,32.69230769230769,524
E14001294,Horsham,92442,32716.081002141884,34192,9,56,0,0,23,41.07142857142857,525
E14001138,Bromsgrove,97463,30890.824343597058,34286,8,58,0,0,18,31.03448275862069,526
E14001161,Cheltenham,98026,28952.24271111746,34360,9,63,2,3.1746031746031744,19,30.158730158730158,527
E14001322,Leeds North West,94716,30696.623110139786,34366,9,57,1,1.7543859649122806,15,26.31578947368421,528
E14001479,Solihull West and Shirley,93468,31613.571388068645,34439,9,57,0,0,20,35.08771929824561,529
E14001592,Woking,104299,31176.51993787093,34445,9,61,0,0,16,26.229508196721312,530
E14001588,Windsor,111868,31122.506655165016,34524,9,62,0,0,25,40.32258064516129,531
E14001197,Didcot and Wantage,98057,33287.08586332439,34738,9,56,0,0,17,30.357142857142854,532
E14001212,East Grinstead and Uckfield,95342,33890.34029598708,34984,9,56,0,0,19,33.92857142857143,533
E14001437,Rayleigh and Wickford,97036,32994.463518694094,35169,9,58,0,0,16,27.586206896551722,534
E14001539,Tatton,98077,32135.983303934663,35176,9,56,0,0,22,39.285714285714285,535
E14001420,Oxford West and Abingdon,106435,32961.423084511676,35248,9,57,0,0,23,40.35087719298245,536
E14001234,Farnham and Bordon,100111,34249.363556452336,35320,9,63,0,0,23,36.507936507936506,537
E14001266,"Harborough, Oadby and Wigston",100272,31364.055848093187,35384,9,59,0,0,14,23.728813559322035,538
E14001442,Reigate,107777,32362.88121769951,35398,9,64,0,0,19,29.6875,539
E14001591,Witney,93828,34353.23438099501,35576,9,53,0,0,16,30.18867924528302,540
E14001214,East Hampshire,91887,32626.437858456582,35643,9,52,0,0,13,25,541
E14001263,Hamble Valley,101295,33984.82905868997,35681,9,59,0,0,17,28.8135593220339,542
E14001237,Filton and Bradley Stoke,96748,32882.444686195064,35729,9,56,0,0,25,44.642857142857146,543
E14001399,North Somerset,92428,34018.97838317393,35794,9,58,0,0,19,32.758620689655174,544
E14001065,Altrincham and Sale West,101618,33243.512945541144,35893,9,59,3,5.084745762711865,24,40.67796610169492,545
E14001512,St Neots and Mid Cambridgeshire,97474,33421.96131276032,36004,9,58,0,0,18,31.03448275862069,546
E14001586,Wimbledon,109269,33878.59013535403,36005,9,67,0,0,22,32.83582089552239,547
E14001507,St Albans,98458,33260.824366735054,36039,9,57,0,0,18,31.57894736842105,548
E14001362,Mid Derbyshire,86756,32513.415919360046,36105,9,54,0,0,20,37.03703703703704,549
E14001445,Richmond Park,110548,33644.43012989833,36183,9,67,0,0,18,26.865671641791046,550
E14001496,South West Hertfordshire,97081,32743.562077028462,36206,9,56,0,0,23,41.07142857142857,551
E14001556,Twickenham,107881,33794.49181505548,36260,9,62,0,0,22,35.483870967741936,552
E14001587,Winchester,106236,33751.01445366919,36267,9,59,0,0,23,38.983050847457626,553
E14001289,Hitchin,101167,33710.05945120444,36493,9,55,0,0,20,36.36363636363637,554
E14001220,Eastleigh,89334,33318.72270915889,36497,9,54,0,0,23,42.592592592592595,555
E14001359,Mid Bedfordshire,82809,33536.58624062602,36518,9,49,0,0,16,32.6530612244898,556
E14001490,South Northamptonshire,98505,35669.09386325567,36526,9,53,0,0,22,41.509433962264154,557
E14001080,Bath,102566,31386.872925725875,36596,9,62,2,3.225806451612903,24,38.70967741935484,558
E14001280,Henley and Thame,95964,35412.11408965862,36881,9,59,0,0,25,42.3728813559322,559
E14001360,Mid Buckinghamshire,88119,36229.86618663398,36961,9,55,0,0,23,41.81818181818181,560
E14001532,Surrey Heath,98990,34874.33840791999,37031,9,59,0,0,26,44.06779661016949,561
E14001227,Epsom and Ewell,105231,34790.723194685976,37355,9,61,0,0,30,49.18032786885246,562
E14001366,Mid Sussex,92914,35209.10993499365,37748,9,55,0,0,25,45.45454545454545,563
E14001605,York Outer,90903,36188.70364564426,38418,9,57,0,0,30,52.63157894736842,564
E14001468,Sheffield Hallam,91115,35885.854617790705,38598,10,56,0,0,30,53.57142857142857,565
E14001258,Guildford,103732,34136.09926059461,38621,10,59,0,0,31,52.54237288135594,566
E14001230,Esher and Walton,103124,35444.87437453939,38699,10,59,0,0,31,52.54237288135594,567
E14001457,Rushcliffe,99254,36128.89183307474,38714,10,58,0,0,30,51.724137931034484,568
E14001348,Maidenhead,99557,34773.52976184498,38917,10,60,0,0,31,51.66666666666667,569
E14001210,Earley and Woodley,96875,32157.698270967743,39018,10,58,3,5.172413793103448,32,55.172413793103445,570
E14001283,Hertford and Stortford,103041,35567.876233732204,39149,10,61,0,0,32,52.459016393442624,571
E14001162,Chesham and Amersham,100704,36564.46320404353,39422,10,59,0,0,34,57.6271186440678,572
E14001392,North East Hampshire,95782,37820.962179741495,39882,10,57,0,0,34,59.64912280701754,573
E14001268,Harpenden and Berkhamsted,95453,36843.91747247336,40083,10,60,0,0,36,60,574
E14001593,Wokingham,102836,37437.17587712474,40197,10,54,0,0,34,62.96296296296296,575
